"fecha_corte","nombre_entidad","nombre_patrimonio","rendimientos_abonados","precierre_fondo_dia_t","numero_unidades_fondo_cierre_oper_dia_t_anterior","valor_unidad_operaciones_dia_t","aportes_recibidos","retiros_redenciones","anulaciones","valor_fondo_cierre_dia_t","numero_inversionistas","rentabilidad_diaria","rentabilidad_mensual","rentabilidad_semestral","rentabilidad_anual"
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO SENTENCIAS NACIÓN II ALIANZA",1031246.73,1711341429.65,156000.885379,10970.075109,0,0,0,1711341429.65,2,24.609377,22.056131,16.707637,9.665445
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO SENTENCIAS NACIÓN II ALIANZA",10766688.4,16756306635.35,1505971.346339,11126.577326,0,0,0,16756306635.35,1,26.440855,23.850185,18.423288,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA NO. 2",671755.31,1638407067.1,161327.202058,10155.801664,0,0,0,1638407067.1,59,16.146549,12.599499,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA NO. 2",1379506.98,3309972941.73,325603.057935,10165.66909,0,0,0,3309972941.73,8,16.433931,12.878127,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA RENTA FIJA LOCAL AAA NO. 2",3202531.57,7212730695.52,707705.68098,10191.709477,0,0,0,7212730695.52,1,17.597783,14.006532,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA ALTERNATIVOS LOCAL LARGO PLAZO",10828.05,43701199.72,4214.1,10370.233198,0,0,0,43701199.72,2,9.466563,9.404034,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA ALTERNATIVOS LOCAL LARGO PLAZO",1720990.42,5131886549.59,5e+05,10263.773099,0,0,0,5131886549.59,1,13.023339,12.958778,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA ESTRUCTURADO RENTA FIJA & PEI",466845.3,364751145.83,36305.771705,10046.643514,0,0,0,364751145.83,20,59.594019,2.512872,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA ESTRUCTURADO RENTA FIJA & PEI",1334571.86,1037279958.49,103218.657879,10049.345533,0,0,0,1037279958.49,8,59.985658,2.764741,0,0
2023-01-01,"Alianza Fiduciaria S.A.","FONDO CERRADO ALIANZA ESTRUCTURADO RENTA FIJA & PEI",649696.11,502343674.45,50004.722604,10045.924631,0,0,0,502343674.45,1,60.379221,0,0,0
